,0,1,2,3
145,Усинскса политехническӧй техникумын воссис «Сьӧкыдлунъяс венны велӧдан лаборатория» ,В Усинском политехническом техникуме открылся учебный полигон «Лаборатория Стрессоустойчивости» ,,
146,Лаборатория кыпыда воссис кӧч 7 лунӧ.,Лаборатория  состоялась 7 сентября.,,
147,Воліс сэтчӧ и Коми Республикаса Юралысьлысь могъяс недыр кадколастӧ збыльмӧдысь Владимир Уйба.,В торжественной церемонии в Усинске принял участие Владимир Уйба.,,
148,Регионӧн юрнуӧдысь аттьӧаліс «РН – Северная нефть» ичӧт кывкутана котырӧн веськӧдлысьясӧс – социальнӧй уджъёртъясӧс – отсӧг сетӧмысь.,"Временно исполняющий обязанности Главы Республики Коми поблагодарил руководство социального партнера ООО «РН – Северная нефть», при поддержке которого была создана лаборатория.",,
149,А студентъяслы сиис интереснӧй велӧдчӧм.,И пожелал студентам интересной и плодотворной учебы.,,
150,"“Велӧдчӧмыд, дерт, удж.","«Приобретение знаний, конечно, - это будни.",,
151,"Но татшӧм лабораторияас велӧдчыны лоӧ кокниджык да бурджык. ӧд тані ӧнія кадлы лӧсялана техника, удж симуляторъяс, – пасйис Владимир Уйба. - ӧнія кадся велӧдчӧм ёна торъялӧ 20‑30 вояс сайын велӧдчӧмысь.","Но благодаря такой лаборатории, современной технике, симуляторам процесс получения знаний становится интересным и наглядным, - отметил В. Уйба. – Современный образовательный процесс отличается от того, что был 20-30 лет назад.",,
152,Талун позьӧ велӧдчыны венны уджын сьӧкыдлунъяс да лёк лоӧмторъяс. Мед збыль уджалігас татшӧмторйыс эз вӧв.,"Сегодня можно моделировать ситуации, чтобы потом понимать, как действовать на практике.",,
153,Велӧдчигӧн тайӧ зэв тӧдчанатор”.,Это крайне важно при овладении профессией».,,
154,"Лабораториясӧ лӧсьӧдӧма, медым студентъяс велалісны уджын видзчысьны лёк суӧмысь, эз торкавны колана инӧдъяс.",Лаборатория стрессоустойчивости создана для демонстрации студентам правил охраны труда и привития культуры соблюдения правил промышленной безопасности на производстве.,,
155,Велӧдчан полигонын 9 стенд-тренажёр да имитатор.,Учебный полигон состоит из 9 стендов-тренажеров и имитаторов.,,
156,"На вылын позьӧ велӧдчыны не доймавны ректысян-сӧвтчан, кӧвъя-чепта уджын, электричествокӧд йитчӧм уджын да с.в.","Которые показывают важность использования средств индивидуальной защиты, правила техники безопасности при погрузочно-разгрузочных и такелажных работах, при работе на высоте, с электричеством и других.",,
157,Коми язык,Русский язык,,
158,Владимир Уйба сёрнитіс Россия Федерацияса вӧр-ва озырлун да экология министрӧс вежысь Елена Пановакӧд республикаын туризм сӧвмӧдӧм йылысь ,Владимир Уйба обсудил с заместителем министра природных ресурсов и экологии Российской Федерации Еленой Пановой перспективы развития туризма в республике ,,
159,Аддзысьлӧмыс вӧлі кӧч тӧлысь 6 лунӧ Ухтаын.,Встреча прошла 6 сентября в Ухте.,,
160,"Сэтчӧ тшӧтш пырӧдчисны Выль проектъяс сӧвмӧдӧм серти стратегическӧй водзмӧстчӧмъяс агентствоса экспертъяс, Коми Республикаса культура, туризм да архив удж министр Сергей Емельянов, «Югыд ва» национальнӧй паркӧн да Печора-Илычса заповедникӧн веськӧдлысьяс.","В ней также приняли участие эксперты Агентства стратегических инициатив по продвижению новых проектов, министр культуры, туризма и архивного дела Коми Сергей Емельянов, руководители парка «Югыд ва» и Печоро-Илычского заповедника.",,
161,Аддзысьлӧм дырйи петкӧдлісны “Комиын вӧрзьӧдлытӧм вӧр” проект.,В рамках рабочей встречи прошла презентация проекта «Девственные леса Коми».,,
162,Тайӧ проектыс пырис Россияын туристско-рекреационнӧй кластеръяс лӧсьӧдӧм да экотуризм сӧвмӧм серти ставроссияса конкурслӧн медводдза этапса 30 медбур проект лыдӧ.,Который вошел в ТОП-30 первого этапа Всероссийского конкурса по созданию туристско-рекреационных кластеров и развитию экотуризма в России.,,
163,"“Комиын вӧрзьӧдлытӧм вӧр” проект серти лоӧ инфраструктура боксянь сӧвмӧдӧма туристско-рекреационнӧй кластерлысь куим туристическӧй зона: Маньпупунёр плато, “Югыд ва” национальнӧй паркын “Желанное” база да Вуктыл районын “Горнолыжная” зона.","Проект «Девственные леса Коми» включает в себя инфраструктурное развитие туристко-рекреационного кластера в трех туристских зонах: плато Маньпупунер, база «Желанное» в национальном парке «Югыд ва» и зона «Горнолыжная» в Вуктыльском районе.",,
164,Сӧвмӧдны кутасны кымынкӧ тшупӧдӧн.,"Предполагается, что обустройство этих зон будет проходить поэтапно.",,
165,"Казьтыштам, мый Комиын эм федеральнӧй тӧдчанлуна 2 ыджыд торйӧн ёна видзан вӧр-ва мутас.","Напомним, что в Коми действуют 2 крупнейших ООПТ федерального значения.",,
166,Талун “Экология” национальнӧй проект олӧмӧ пӧртӧмын ыджыд пай сетсьӧ торйӧн ёна видзан мутасъясын экология туризм сӧвмӧдӧмлы.,Сегодня в рамках реализации национального проекта «Экология» отдельное внимание уделяется развитию экологического туризма на особо охраняемых природных территориях.,,
167,"“Мый ми аддзылім Ухтаӧ мунігӧн, шемӧсмӧдӧ, – шуис Россия Федерацияса вӧр-ва озырлун да экология министрӧс вежысь Елена Панова.","«То, что мы увидели по дороге в Ухту, уже потрясает и вдохновляет, - сказала заместитель министра природных ресурсов и экологии Ро",,
168,"– Тайӧс быть колӧ петкӧдлыны йӧзлы, петкӧдлыны челядьлы”.","– Это нужно показывать людям, показывать детям».",,
169,“Талун миянӧ локтӧ уна турист.,«Сегодня территория кластера – это место притяжения туристов.,,
170,"И Россияысь, и суйӧр сайысь.","Не только из России, но и зарубежных стран.",,
171,"“Комиын вӧрзьӧдлытӧм вӧр” проект олӧмӧ пӧртӧмыс сетас позянлун петкӧдлыны коми мулысь зэв аслыспӧлӧс местаяс, сідз шусяна “места силы”, нӧшта на уна Россияса да мирса ветлысь-мунысьлы.",Благодаря реализации проекта «Девственные леса Коми» мы сможем обеспечить доступ к уникальным местам силы региона путешественникам со всей России и мира.,,
172,"Чайтам, мый 2025 во кежлӧ миянӧ волысь ветлысь-мунысьлӧн лыдыс содас 100 сюрсӧдз либӧ 6,3 пӧв”, – тӧдчӧдіс Коми Республикаса культура, туризм да архив удж министр Сергей Емельянов.","Планируется, что к 2025 году турпоток увеличится до 100 тысяч туристов или в 6,3 раза», — прокомментировал министр культуры, туризма и архивного дела Республики Коми Сергей Емельянов.",,
173,"Коми Республикаса Юралысьлысь могъяс недыр кадколастӧ збыльмӧдысь Владимир Уйба пасйис, мый Инта, Мылдін да Вуктыл районъясын олысьяскӧд аддзысьлігӧн сёрнитіс налӧн оланінъясын туризм сӧвмӧм йылысь.","Врио Главы Республики Коми Владимир Уйба отметил, что во время рабочих поездок обсуждал с жителями Интинского, Троицко-Печорского и Вуктыльского районов вопросы развития туризма на их территориях.",,
174,"“ Ми кӧсъям, медым миян республика вӧлі восьса, ми кӧсъям петкӧдлыны ставсӧ, мый миян эм интереснӧйыс.","«Мы хотим сделать республику открытой и доступной, показать все, что у нас есть уникального и интересного.",,
175,"Йӧзыс виччысьӧны туристъясӧс, налы эм мый петкӧдлыны.","И люди ждут туристов, им есть что показать.",,
176,"Найӧ асьныс висьталӧны мый позьӧ петкӧдлыны: вӧла ветлӧмъяс, коми сёянінъяс да зэв на уна быдторсӧ, – содтіс Владимир Уйба.","Есть предложения по развитию своих районов: конные прогулки, кафе национальной кухни и многое другое, - заявил В. Уйба.",,
177,"Дерт, ми кутам юасьны йӧзлысь, мый оз позь вӧрзьӧдны, шуам, вежа местаяс.","Конечно, мнение населения будет учитываться, никто не будет беспокоить священные места.",,
178,Миянлы некыдз оз позь торкны войвывлысь экологическӧй баланссӧ.,А также нарушать экологический баланс хрупкой северной природы.,,
179,"Миян регионлӧн туристическӧй бренд – “Эко Коми Республика”, и миянлы колӧ ставсӧ вӧчны, мед тадзи и лоис.","Туристический бренд нашего региона - «Эко Республика Коми», и мы намерены ему соответствовать».",,
180,"Кӧч тӧлысь 13 лунӧ Москваын лоӧ стратегическӧй сессия, кӧні Коми Республика кутас дорйыны туркластерлысь мастер-план.","13 сентября в Москве состоится финальная стратегическая сессия, на которой Коми будет защищать мастер-план туркластера.",,
181,Коми язык,Русский язык,,
182,ЛУКОЙЛ водзӧ отсалӧ пӧртны олӧмӧ социальнӧй проектъяс Коми Республикаын ,ЛУКОЙЛ продолжает реализацию социальных проектов в Республике Коми ,,
183,Кӧч тӧлысь 7 лунӧ Усинскын Коми Республикаса Юралысьлысь могъяс недыр кадколастӧ збыльмӧдысь Владимир Уйба да «ЛУКОЙЛ» йӧзлы восьса акционер котырса президент Вагит Алекперов сёрнитісны регион социальнӧя да экономика боксянь сӧвмӧдӧмын ӧтувъя удж йылысь.,7 сентября в Усинске врио Главы Республики Коми Владимир Уйба и президент ПАО «ЛУКОЙЛ» Вагит Алекперов обсудили перспективы взаимодействия в области социально-экономического развития региона.,,
184,Владимир Уйба аттьӧаліс Вагит Алекперовӧс республикаын коронавирускӧд вермасьӧмӧ Компаниялӧн зіля пырӧдчӧмысь.,Владимир Уйба поблагодарил Вагита Алекперова за активное участие Компании в мероприятиях по борьбе с коронавирусной инфекцией на территории республики.,,
185,Пандемия заводитчӧмсянь ЛУКОЙЛ пыр отсасьӧ регионса дзоньвидзалун видзан учреждениеяслы.,С момента начала пандемии ЛУКОЙЛ постоянно оказывает поддержку медучреждениям региона.,,
186,Сідз жӧ Владимир Уйба да Вагит Алекперов сетісны усинскса олысьяслы выль уна судта керкаын патераясысь ключьяс.,Также Владимир Уйба и Вагит Алекперов вручили усинцам ключи от квартир в новом многоэтажном доме.,,
187,"Тайӧ нин мӧд керка, кутшӧмӧс стрӧитіс ЛУКОЙЛ Коми Республикаса Веськӧдлан котыр да “ЛУКОЙЛ” йӧзлы восьса акционер котыр костын уджъёртасьӧм йылысь артмӧдчӧм серти.","Это уже второй дом, построенный ЛУКОЙЛом в городе в рамках Соглашения о сотрудничестве между Правительством Республики Коми и ПАО «ЛУКОЙЛ».",,
188,Кымынкӧ патера вичмис Компанияса том уджалысьяслы.,Часть квартир выделена семьям молодых специалистов Компании.,,
189,"Таысь кындзи, регионӧн юрнуӧдысь да Компанияса президент видзӧдлісны котырлӧн сьӧм вылӧ бурмӧдӧм карса шӧр изэрд вывса сквер, кӧні сулалӧ “Пламя” стела да лӧсьӧдӧма челядьлы ворсанін.","Кроме того, Владимир Уйба и Вагит Алекперов осмотрели обустроенный на средства Компании сквер со стелой «Пламя» и детской площадкой на главной площади Усинска.",,
190,“Талун Усинск да Ухта – аскиа лунся каръяс.,«Усинск и Ухта сегодня – это города будущего.,,
191,"Тайӧ мечта, - пасйис В. Уйба.","Города мечты, - отметил В. Уйба.",,
192,"И неминучаясысь видзанног серти, и туйяс, школаяс да челядьӧс видзанінъяс серти, больничаяс серти – ставыс тайӧ карса инфраструктура.","И по безопасности, и по наполнению инфраструктурой: это дороги, школы, детские сады, больницы.",,
193,Татшӧмӧн колӧ вӧчны республикасӧ ставнас.,"Это тот стандарт, к которому надо подтягивать республику.",,
194,И ми кутам тайӧс вӧчны.,И к этому мы будем стремиться.,,
195,"А тані миян социальнӧй уджъёртъяскӧд ӧттшӧтш кутам нӧшта на бурмӧдны тайӧ каръяссӧ, медым и водзӧ ми аддзим, кытчань водзӧ колӧ зільны”.","А здесь вместе с нашими соцпартнерами будем стараться улучшать инфраструктуру этих городов, чтобы потом вновь было, к чему стремиться».",,
196,"ЛУКОЙЛ и водзӧ кутас отсавны социальнӧй инфраструктура сӧвмӧдан уджтасъяс сьӧмӧн могмӧдӧмын, кутас нуӧдны Коми Республикаын благотворительнӧй акцияяс да проектъяс.","Компания продолжит и в будущем оказывать содействие в финансировании программ развития социальной инфраструктуры, реализовывать благотворительные акции и проекты на территории Республики Коми.",,
197,"Шуам, Ярегаын 2020 во помлань кыпӧдасны спорт комплекс, а Сем ӧндрей да Шеллябӧжын стрӧитасны челядьӧс видзанінъяс.","В частности, при поддержке Компании на Яреге к концу 2020 года возведут спортивный комплекс, а в удаленных усинских селах Мутный Материк и Щельябож завершится строительство детских садов.",,
198,"Сідзжӧ тайӧ сиктъясас стрӧитӧма нин сиктса бурдӧдчан амбулаторияяс – ӧти судтаа блочно-модульнӧй зданиеяс, да вайӧма сэтчӧ колана медицинскӧй оборудование. Тані позьӧ куйлыны и стационарын, и волыны луннас бурмӧдны дзоньвидзалун.",Также в этих селах уже построены и оснащены сельские врачебные амбулатории – одноэтажные блочно-модульные здания с палатами круглосуточного пребывания больных и для процедур дневного стационара. Амбулатории оснащены современным медицинским оборудованием.,,ы
199,Коми язык,Русский язык,,
200,Коми Республикаын Роспотребнадзорлӧн веськӧдланін йӧзӧдіс коронавирус серти официальнӧй юӧр ,Официальная информация Управления Роспотребнадзора по Республике Коми по ситуации с коронавирусом ,,
201,"Коми Республикаын Роспотребнадзорлӧн веськӧдланін юӧртіс: талун кежлӧ (кӧч тӧлысь 4 лун вылӧ) лабораторнӧя эскӧдӧма, мый COVІD‑19 висьмӧма 6679 (+35) морт.","По официальной информации Управления Роспотребнадзора по Республике Коми, на сегодняшний день (4 сентября) лабораторно подтверждено 6679 (+35) случаев заболевания COVID-19.",,
202,"Став висьмӧм йӧз бӧрся видзӧдӧны врачьяс, налы сетӧны отсӧг.","Все инфицированные находятся под наблюдением врачей, им оказывается помощь.",,
203,"Ставнас медицина боксянь видзӧдӧны 1382 морт бӧрся, на лыдын: 1366 морт контактируйтӧмаӧсь висьмӧм йӧзкӧд, 16-ыс воӧмаӧсь суйӧр сайысь.","Всего под медицинским наблюдением находится 1382 человека, из них 1366 контактировали с заболевшими, 16 прибыли из-за рубежа.",,
204,5804 (+53) морт бурдіс.,5804 (+53) человека выздоровели.,,
205,Ӧнія кадӧ коронавирусысь некод эз кувсьы.,Новых случаев летального исхода у пациентов с коронавирусом не зарегистрировано.,,
206,Бӧръя суткинас медицина боксянь обследуйтӧм да кык вежонся карантин помасьӧм бӧрын медицина учётысь киритісны 22 мортӧс.,За последние сутки сняты с медицинского учёта по завершении обследований и двухнедельного карантинного срока 22 человека.,,
207,Найӧ коронавирусӧн оз висьны.,В отношении них подозрения на коронавирус не подтвердились.,,
208,"*** Содтӧд дасьлун режим йылысь регионса юрнуӧдысьлӧн Индӧдӧн, вына дзескӧдӧмъясӧн да Коми Республикаын серпас йылысь выль юӧрӧн позьӧ тӧдмасьны Коми Республикалӧн официальнӧй порталын “Коронавирус.","*** Ознакомиться с Указом Главы Республики Коми о режиме повышенной готовности, действующими ограничениями и оперативной информацией о ситуации в Республике Коми можно на официальном портале Республики Коми в специальном разделе «Коронавирус.",,
209,Коми язык,Русский язык,,
210,"Марат Хуснуллин тшӧктіс видлавны позянлун, медым таво вичмӧдны Коми Республикалы Кыбантывис – Ичӧт Пера автомашина туй стрӧитӧм вылӧ содтӧд федеральнӧй сьӧм ",Марат Хуснуллин поручил проработать вопрос выделения Республике Коми в этом году дополнительного федерального финансирования на строительство автодороги Кабанты Вис – Малая Пера ,,
211,Россия Федерацияса Веськӧдлан котырлӧн вице-премьер Марат Хуснуллин да Коми Республикаса Юралысьлысь могъяс недыр кадколастӧ збыльмӧдысь Владимир Уйба сёрнитчисны та йылысь видеоселекторнӧй сӧвещание дырйи.,Договорённость об этом достигнута в ходе видеоселекторного совещания вице-премьера Правительства Российской Федерации Марата Хуснуллина с врио Главы Республики Коми Владимиром Уйба.,,
212,Сӧвещаниеыс вӧлі кӧч тӧлысь 3 лунӧ.,Совещание состоялось 3 сентября.,,
213,"Владимир Уйба юӧртіс Россияса Веськӧдлан котырӧн Юрнуӧдысьӧс вежысьлы, кыдзи збыльмӧдӧны «Безопаснӧй да бур автомашина туйяс» да «Оланін да карса гӧгӧртас» национальнӧй проектъяс.",Владимир Уйба проинформировал зампреда Правительства России о ходе реализации национальных проектов «Безопасные и качественные автомобильные дороги» и «Жилье и городская среда».,,
214,Магистральнӧй инфраструктура ӧнъяӧдан да паськӧдан комплекснӧй план серти республикаын збыльмӧдӧны «Экономика боксянь сӧвмӧдан шӧринъяс костын йитӧдъяс» дінму проект.,В рамках Комплексного плана модернизации и расширения магистральной инфраструктуры в республике реализуется региональный проект «Коммуникации между центрами экономического роста».,,
215, Тайӧ проект серти выльмӧдӧны Сыктывкар – Ухта – Печора – Усинск – Нарьян-Мар автомашина туй вылын Кыбантывис – Ичӧт Пера участоксӧ.,По этому проекту ведётся реконструкция автомобильной дороги Сыктывкар – Ухта – Печора – Усинск – Нарьян-Мар на участке Кабанты Вис – Малая Пера.,,
216,"Участоклӧн кузьтаыс 22,92 км.","Протяжённостью 22,92 км.",,
217,2019 вося ӧшым тӧлысь 26 лунӧ кырымалӧма уджъяс вӧчӧм вылӧ канму контракт.,Госконтракт на выполнение работ заключён 26 декабря 2019 года.,,
218,2020 вося ода-кора тӧлысьын объект вылын заводитісны нуӧдны стрӧитчан да монтажнӧй уджъяс.,Строительно-монтажные работы на объекте начаты в мае 2020 года.,,
219,Уджъяссӧ кӧсйӧны помавны 2021 вося йирым тӧлысьын.,Окончание работ и ввод объекта в эксплуатацию запланированы на октябрь 2021 года.,,
220,Доныс – 1 млрд 132 млн шайт.,Стоимость – 1 млрд 132 млн рублей.,,
221,2020 во вылӧ урчитӧм сьӧм мындаысь видзӧма нин 95%-сӧ.,"Уже освоено 95% от лимитов средств, предусмотренных на 2020 год.",,
222,"Такӧд йитӧдын Владимир Уйба шыӧдчис Марат Хуснуллин дорӧ вӧзйӧмӧн юклыны 2021 во вылӧ урчитӧм лимитъяссӧ выль пӧв да вуджӧдны 2020 во вылӧ федеральнӧй сьӧмсӧ, мыйта вӧлі планируйтӧма вичмӧдны локтан воын индӧм туй участоксӧ выльмӧдӧм вылӧ.","В связи с этим Владимир Уйба обратился к Марату Хуснуллину с предложением перераспределить лимиты 2021 года и перенести на 2020 год федеральные средства, которые были запланированы на финансирование мероприятий по реконструкции указанного участка дороги на следующий год.",,
223,Тайӧ сетас позянлун эштӧдны уджъяссӧ планируйтӧм кадысь водзджык.,Это позволит завершить работы раньше запланированного срока.,,
224,Россия Федерацияса Веськӧдлан котырӧн Юрнуӧдысьӧс вежысь ошкис Владимир Уйбалысь водзмӧстчӧмсӧ да тшӧктіс видлавны тайӧ юалӧмсӧ.,Заместитель Председателя Правительства Российской Федерации поддержал инициативу врио Главы Республики Коми и поручил проработать данный вопрос.,,
225,Матысса кадӧ Россияса Веськӧдлан котыр дасьтас та серти лӧсялана тшӧктӧм.,В ближайшее время будет подготовлено соответствующее распоряжение Правительства России.,,
226,Коми язык,Русский язык,,
227,Коми Республикаын Роспотребнадзорлӧн веськӧдланін йӧзӧдіс коронавирус серти официальнӧй юӧр ,Официальная информация Управления Роспотребнадзора по Республике Коми по ситуации с коронавирусом ,,
228,"Коми Республикаын Роспотребнадзорлӧн веськӧдланін юӧртіс: талун кежлӧ (кӧч тӧлысь 3 лун вылӧ) лабораторнӧя эскӧдӧма, мый COVІD‑19 висьмӧма 6644 (+24) морт.","По официальной информации Управления Роспотребнадзора по Республике Коми, на сегодняшний день (3 сентября) лабораторно подтверждено 6644 (+24) случая заболевания COVID-19.",,
229,"Став висьмӧм йӧз бӧрся видзӧдӧны врачьяс, налы сетӧны отсӧг.","Все инфицированные находятся под наблюдением врачей, им оказывается помощь.",,
230,"Ставнас медицина боксянь видзӧдӧны 1399 морт бӧрся, на лыдын: 1386 морт контактируйтӧмаӧсь висьмӧм йӧзкӧд, 13-ыс воӧмаӧсь суйӧр сайысь.","Всего под медицинским наблюдением находится 1399 человек, из них 1386 контактировали с заболевшими, 13 прибыли из-за рубежа.",,
231,5751 (+48) морт бурдіс.,5751 (+48) человек выздоровел.,,
232,Ӧнія кадӧ коронавирусысь некод эз кувсьы.,Новых случаев летального исхода у пациентов с коронавирусом не зарегистрировано.,,
233,Бӧръя суткинас медицина боксянь обследуйтӧм да кык вежонся карантин помасьӧм бӧрын медицина учётысь киритісны 32 мортӧс.,За последние сутки сняты с медицинского учёта по завершении обследований и двухнедельного карантинного срока 32 человека.,,
234,Найӧ коронавирусӧн оз висьны.,В отношении них подозрения на коронавирус не подтвердились.,,
235,"*** Содтӧд дасьлун режим йылысь регионса юрнуӧдысьлӧн Индӧдӧн, вына дзескӧдӧмъясӧн да Коми Республикаын серпас йылысь выль юӧрӧн позьӧ тӧдмасьны Коми Республикалӧн официальнӧй порталын “Коронавирус.","*** Ознакомиться с Указом Главы Республики Коми о режиме повышенной готовности, действующими ограничениями и оперативной информацией о ситуации в Республике Коми можно на официальном портале Республики Коми в специальном разделе «Коронавирус.",,
236,Коми язык,Русский язык,,
237,Владимир Уйба нуӧдіс Культура да искусство серти сӧветлысь паськӧдӧм заседание ,Владимир Уйба провёл расширенное заседание Совета по культуре и искусству ,,
238,Заседаниеыс вӧлі кӧч тӧлысь 2 лунӧ Финн-угор этнокультурнӧй паркын.,Заседание состоялось 2 сентября в Финно-угорском этнокультурном парке.,,
239,Коми Республикаса Юралысьлысь могъяс недыр кадколастӧ збыльмӧдысь сёрнитіс культура учреждениеясӧн юрнуӧдысьяскӧд да творческӧй котыръясӧс петкӧдлысьяскӧд республикалы сё во тыригкежлӧ дасьтысьӧм да юкӧнсӧ водзӧ вылӧ сӧвмӧдӧм йылысь.,Врио Главы Республики Коми обсудил с руководителями учреждений культуры и представителями творческих союзов вопросы подготовки к столетию республики и перспективы развития отрасли.,,
240,"“Коми Республика талун лоӧ медбурӧн культура юкӧнын уна нырвизьын: ми восьтам сиктъясын социокультурнӧй шӧринъяс, модельнӧй  библиотекаяс, котыртам аслыспӧлӧс выставкаяс, - тӧдчӧдіс чолӧмалан кывйын Владимир Уйба.","«Республика Коми сегодня является уверенным лидером по очень многим направлениям в сфере культуры: мы открываем в сельских районах социокультурные центры, модельные библиотеки, организуем уникальные выставки, - подчеркнул в приветственном слове Владимир Уйба.",,
241,- Талун “Культура” национальнӧй проектлӧн уна нырвизь лӧсьӧдӧма дыр кад вылӧ.,- Сегодня очень многие направления нацпроекта «Культура» ориентированы на долгосрочную перспективу.,,
242,"Чайта, мый республикаса ӧтйӧза ӧтувъяслы быть колӧ пырӧдчыны тайӧ уджӧ”.","И, конечно, считаю принципиально важным участие в этой работе творческих общественных объединений республики».",,
243,В. Уйба сідзжӧ пасйис республикалӧн социальнӧй уджъёртъяслысь культура юкӧн сӧвмӧдӧмын пайсӧ.,В. Уйба также отметил вклад социальных партнёров республики в развитие отрасли культуры.,,
244,"Сідз, шуам, “РУСАЛ” компаниякӧд уджъёртасьӧм йылысь артмӧдчӧм серти моз тӧлысь 26 лунӧ Княжпогост районса Чимиавӧрӧк посёлокын воссис социокультурнӧй шӧрин.","Так, например, в рамках соглашения о сотрудничестве с компанией «РУСАЛ» 26 августа открылся социокультурный центр в посёлке Чиньяворык Княжпогостского района.",,
245,Регыд воссяс Чилимдін районса Мӧскашор сиктын социальнӧй шӧрин.,На очереди – открытие социокультурного центра в селе Коровий Ручей Усть-Цилемского района.,,
246,Сійӧс стрӧитӧны “ЛУКОЙЛ” компания отсӧгӧн.,Который строится при поддержке компании «ЛУКОЙЛ».,,
247,Тавося сора тӧлысьӧ восьтісны Вуктыл районса Пӧдчерем сиктын социокультурнӧй шӧрин.,В июле этого года открыт социокультурный центр в селе Подчерье Вуктыльского района.,,
248,Сэні участвуйтіс Россияса культура министр Ольга Ярилова.,При участии заместителя министра культуры России Ольги Яриловой.,,
249,Национальнӧй проект серти во помӧдз нӧшта кыкӧс восьтасны Сыктыв да Сосногорск районъясын.,Ещё два в рамках нацпроекта будут открыты до конца этого года в Сысольском и Сосногорском районах.,,
250,Вужвойтырлысь шылада-драмаа театр лӧсьӧдысь да художественнӧй юрнуӧдысь Светлана Горчакова кыпӧдіс театрлы выль здание стрӧитӧм йылысь юалӧм.,Создатель и художественный руководитель Национального музыкально-драматического театра Светлана Горчакова подняла вопрос о строительстве нового здания для театра.,,
251,"Стрӧитӧм вылӧ сійӧ вӧзйис кык ин, а выль здание стрӧитігӧн водзӧ дзоньтавны Бабушкин, 4 улича вылысь жыръяссӧ.","Она предложила два варианта мест для постройки, а на время строительства нового здания продолжить ремонт помещений на улице Бабушкина, 4.",,
252,Владимир Уйба тшӧктіс республикаса Стрӧитчан министерстволы да Культура министерстволы видлавны тайӧ вӧзйӧмъяссӧ.,Владимир Уйба поручил Минстрою и Минкультуры республики проработать эти предложения.,,
253,"Леткаса овмӧдчӧминкостса клуб системалӧн директор Ольга Можегова юаліс Коми Республикаса Юралысьлысь могъяс недыр кадколастӧ збыльмӧдысьлысь, лоасны-ӧ сиктын культура юкӧнын уджалысьяслы канмусянь отсалан мераяс.","Директор Летской межпоселенческой клубной системы Ольга Можегова спросила врио Главы Республики Коми, будут ли предусмотрены какие-либо меры господдержки для работников культуры на селе.",,
254,"Владимир Уйба пасйис, мый 2021 вося тӧвшӧр тӧлысь 1 лунсянь кутас уджавны “Культура юкӧнын земскӧй уджалысь” федеральнӧй уджтас.","Владимир Уйба отметил, что с 1 января 2021 года стартует федеральная программа «Земский работник культуры».",,
255,Сійӧ ышӧдас том специалистъясӧс уджавны сиктса культура учреждениеясын.,Она будет способствовать привлечению молодых специалистов в сельские учреждения культуры.,,
256,"Аддзысьлігӧн сідзжӧ сёрнитісны республикаса Опера да балет канму театрлы выль здание стрӧитӧм, Коми Республикаса национальнӧй галереялысь фонд паськӧдӧм, Воркутаын Шахтёръяслӧн культура двореч дзоньталӧм да оборудование выльмӧдӧм йылысь.","На встрече были также затронуты темы строительства нового здания Государственного театра оперы и балета республики, пополнения фондов Национальной галереи Республики Коми, ремонта и обновления оборудования Дворца культуры шахтёров в Воркуте.",,
257,Владимир Уйба сетіс культура юкӧнын уджалысьяслы канму наградаяс.,Владимир Уйба вручил представителям сферы культуры государственные награды.,,
258,*** Коми Республикаса Юралысьлӧн Индӧдӧн Коми Республика водзын заслугаясысь “Коми Республикаса нимӧдана уджалысь” почёт ним сетӧма,*** Указом Главы Главы Республики Коми за заслуги перед Республикой Коми почетное звание «Заслуженный работник Республики Коми» присвоено,,
259,Сергей Евгеньевич Павлюшинлы – Коми Республикаса культура озырлун объектъяс видзӧмӧн веськӧдланінса начальникӧс вежысьлы;,Павлюшину Сергею Евгеньевичу – заместителю начальника Управления Республики Коми по охране объектов культурного наследия;,,
260,Коми Республикаса Юралысьлӧн тшӧктӧмъясӧн культура юкӧнын заслугаясысь да уна во сьӧлӧмсянь уджалӧмысь “Коми Республикаса культураын почёта уджалысь” ним сетӧма,распоряжениями Главы Республики Коми за заслуги в области культуры и многолетнюю добросовестную работу звание «Почетный работник культуры Республики Коми» присвоено,,
261,Олеся Федоровна Якимовалы – “Эжваса челядьлы шылада школа” содтӧд тӧдӧмлун сетан муниципальнӧй асшӧрлуна учреждениеса директорлы;,Якимовой Олесе Федоровне – директору муниципального автономного учреждения дополнительного образования «Эжвинская детская музыкальная школа»;,,
262,"культура да искусство сӧвмӧдӧмӧ пай пуктӧмысь, уна во зіля уджалӧмысь Коми Республикаса Юралыссянь Аттьӧалӧм сетӧма","за вклад в развитие культуры и искусства, многолетнюю плодотворную деятельность Благодарность Главы Республики Коми объявлена",,
263,Ольга Михайловна Можеговалы – “Леткаса овмӧдчӧминкостса клуб система” муниципальнӧй сьӧмкуд культура учреждениеса директорлы.,Можеговой Ольге Михайловне – директору муниципального бюджетного учреждения культуры «Летская межпоселенческая клубная система».,,
264,Коми язык,Русский язык,,
265,Владимир Уйба ошкис Коми Республикаса Юралысь бердын Экологическӧй сӧвет лӧсьӧдӧм йылысь мӧвпсӧ ,Владимир Уйба поддержал идею о создании Экологического совета при Главе Республики Коми ,,
